Title,Location,Price,Size,Apartment Type
"Vračar, centar - Bulevar kralja Aleksandra, 123m2, Bulevar kralja Aleksandra","Vračar (Centar), Beograd, Srbija",320 000 €,123 m²,  Trosoban stan
"Vračar, Crveni krst - Cerska, 105m2, Cerska","Crveni krst, Beograd, Srbija",280 000 €,105 m²,  Četvorosoban stan
"Novi Beograd, Blok 61 - Dr Ivana Ribara, 78m2, Dr Ivana Ribara","Novi Beograd Blok 61, Beograd, Srbija",230 000 €,78 m²,  Trosoban stan
"Palilula, Tašmajdan - Kneza Danila, 62m2, Kneza Danila","Tašmajdan, Beograd, Srbija",220 000 €,62 m²,  Trosoban stan
"Vračar, Neimar 68,74m2 novogradnja + pdv ID#4128","Vračar (Hram), Beograd, Srbija",286 036 €,69 m²,  Trosoban stan
Trosoban stan na Lekinom brdu 58m2 ID#4080,"Lekino brdo, Beograd, Srbija",190 000 €,58 m²,  Trosoban stan
"Lekino brdo 70,86m2 novogradnja + PDV ID#4022","Lekino brdo, Beograd, Srbija",226 752 €,71 m²,  Trosoban stan
"Braće Jerković, trosoban stan 57m2 ID#3794","Braće Jerković, Beograd, Srbija",158 990 €,57 m²,  Trosoban stan
"Braće Jerković, troiposoban stan 77,17m2 ID#4090","Braće Jerković, Beograd, Srbija",180 000 €,77 m²,  Četvorosoban stan
"Najlepši deo Vračara, Duplex sa pogledom 190m2 ID#3443","Neimar, Beograd, Srbija",543 990 €,190 m²,  Petosoban+ stan
"Savski venac, Resavska 99m2 salonac ID#4133","Klinički centar, Beograd, Srbija",380 000 €,99 m²,  Četvorosoban stan
"Na par minuta od Banjice, četvorosoban stan 114m2 ID#4013","Jajinci, Beograd, Srbija",180 000 €,114 m²,  Četvorosoban stan
"Vračar, Kalenić ,102m2 ID#4222","Kalenić pijaca, Beograd, Srbija",390 000 €,102 m²,  Četvorosoban stan
"ODLIČNA PRILIKA, Voždovac, Medaković III, 4.0, 96m2 ID#3353","Medaković III, Beograd, Srbija",270 000 €,96 m²,  Četvorosoban stan
Zvečanska 41m2 RENOVIRAN! ID#4083,"Autokomanda, Beograd, Srbija",118 000 €,41 m²,  Jednosoban stan
"Karaburma, Marijane Gregoran 36m2 ID#3911","Karaburma, Beograd, Srbija",75 000 €,36 m²,  Jednosoban stan
"Sremčica, naselje Gorica, jednoiposoban stan, 40m2 ID#4943","Sremčica, Beograd, Srbija",70 000 €,40 m²,  Dvosoban stan
Jednoiposoban stan sa pogledom na Dunav 46m2 SUNNYVILL ID#4081,"Višnjička banja, Beograd, Srbija",150 000 €,46 m²,  Dvosoban stan
"Sunnyville, jednoiposoban 44m2, Namešten ID#4085","Višnjička banja, Beograd, Srbija",137 000 €,44 m²,  Dvosoban stan
"Voždovac, Kumodraž, 45m2 ID#4092","Kumodraž I, Beograd, Srbija",87 000 €,45 m²,  Dvosoban stan
"Jednoiposoban, Vidikovačka Padina 40m2 ID#3960","Vidikovačka padina, Beograd, Srbija",86 100 €,40 m²,  Dvosoban stan
"Voždovac 75m2, LUX opremljen trosoban stan ID#4151","Voždovac, Beograd, Srbija",299 000 €,75 m²,  Trosoban stan
Bulevar kralja Aleksandra 27m2 blizu okretnice ID#4154,"Zeleno Brdo, Beograd, Srbija",82 000 €,27 m²,  Garsonjera
"Kaluđerica 47m2, kod Škole Miloje Vasić ID#4099","Kaluđerica, Beograd, Srbija",63 450 €,47 m²,  Dvosoban stan
"Vračar, Crveni krst, LUX, 2.0, 52m2 sa parking mestom ID#4089","Crveni krst, Beograd, Srbija",175 000 €,52 m²,  Dvosoban stan
Kosančićev Venac 44m2 duplex ID#4057,"Kosančićev venac, Beograd, Srbija",175 500 €,44 m²,  Dvosoban stan
Karaburma 48m2 odlična lokacija ID#4049,"Karaburma, Beograd, Srbija",93 000 €,48 m²,  Dvosoban stan
"Cvetkova pijaca, Živka Davidoviča 60m2 ID#3949","Cvetkova pijaca, Beograd, Srbija",132 000 €,60 m²,  Dvosoban stan
"RETKA PRILIKA, Zemun, Centar, 99m2 ID#3186","Zemun (Centar), Beograd, Srbija",250 000 €,99 m²,  Dvosoban stan
"Hala Pionir, Pionir Palas, nov, 2.0, garažno mesto ID#9857","Bogoslovija, Beograd, Srbija",189 000 €,54 m²,  Dvosoban stan
"Novi Beograd, Blok 29 - Bulevar Arsenija Čarnojevića, 80m2, Bulevar Arsenija Čarnojevića","Novi Beograd Blok 29, Beograd, Srbija",198 000 €,80 m²,  Dvosoban stan
"Novi Beograd, Blok 8a - Bulevar Mihajla Pupina, 59m2, Bulevar Mihajla Pupina","Novi Beograd Blok 8a, Beograd, Srbija",194 700 €,59 m²,  Dvosoban stan
"Zvezdara, Gradska bolnica - Kladovska, 73m2, Kladovska","Gradska bolnica, Beograd, Srbija",194 000 €,73 m²,  Trosoban stan
"Savski venac, Dedinje - Neznanog junaka, 116m2, Neznanog junaka","Dedinje (Beli dvor), Beograd, Srbija",192 000 €,116 m²,  Četvorosoban stan
"Čukarica, Banovo brdo - Nodilova, 63m2, Nodilova","Banovo brdo, Beograd, Srbija",189 000 €,63 m²,  Trosoban stan
"Palilula, Višnjička banja - Mirka Milojkovića, 67m2, Mirka Milojkovića","Višnjička banja, Beograd, Srbija",188 940 €,67 m²,  Trosoban stan
"Čukarica, Banovo brdo - Požeška, 61m2, Požeška","Banovo brdo, Beograd, Srbija",188 500 €,61 m²,  Dvosoban stan
"Novi Beograd, Blok 62 - Jurija Gagarina, 71m2, Jurija Gagarina","Novi Beograd Blok 62, Beograd, Srbija",185 000 €,71 m²,  Dvosoban stan
"Voždovac, Konjarnik - Vladimira Tomanovića, 67m2, Vladimira Tomanovića","Konjarnik, Beograd, Srbija",185 000 €,67 m²,  Dvosoban stan
"Zvezdara, Medakovć III - Braće Srnić, 87m2, Braće Srnić","Medaković III, Beograd, Srbija",179 800 €,87 m²,  Trosoban stan
"Zvezdara, Učiteljsko naselje - Vojvode Bojovića, 74m2, Vojvode Bojovića","Učiteljsko naselje, Beograd, Srbija",178 000 €,74 m²,  Dvosoban stan
"Novi Beograd, Blok 4 - Pariske komune, 58m2, Pariske komune","Novi Beograd Blok 4 (Politehnička akademija), Beograd, Srbija",169 500 €,58 m²,  Dvosoban stan
"Palilula, Višnjička banja (Sunnyville) - Mirka Milojkovića, 67m2, Mirka Milojkovića","Višnjička banja, Beograd, Srbija",154 100 €,67 m²,  Dvosoban stan
"Čukarica, Banovo brdo - Valjevska, 49m2, Valjevska","Banovo brdo, Beograd, Srbija",149 000 €,49 m²,  Dvosoban stan
"Čukarica, Banovo brdo - Petra Lekovića, 52m2, Petra Lekovića","Banovo brdo, Beograd, Srbija",139 000 €,52 m²,  Dvosoban stan
"Palilula, Karaburma - Dr Drage Ljočić, 83m2, Dr Drage Ljočić","Karaburma, Beograd, Srbija",121 900 €,83 m²,  Trosoban stan
"Zvezdara, Vukov spomenik - Bulevar kralja Aleksandra, 41m2, Bulevar kralja Aleksandra","Vukov spomenik, Beograd, Srbija",99 000 €,41 m²,  Dvosoban stan
"Zemun, Kalvarija - Lazara Savatića, 37m2, Lazara Savatića","Zemun (Kalvarija), Beograd, Srbija",96 000 €,37 m²,  Jednosoban stan
"Vojvode Dobrnjca, Novi Dorcol, 2 u 1, 61 m2 odlicna lokacija, investicija","Donji Dorćol, Beograd, Srbija",159 000 €,61 m²,  Dvosoban stan
"Renoviran stan na Dorćolu, Dositejeva","Gornji Dorćol, Beograd, Srbija",237 000 €,57 m²,  Dvosoban stan
"Izuzetan stan, sa garažnim mestom","Zvezdara, Beograd, Srbija",275 000 €,70 m²,  Trosoban stan
"Novi Merkator,82m2, 3.0,adaptibilan u 4.0, V sprat","Novi Beograd Blok 33 (Genex kula), Beograd, Srbija",322 000 €,58 m²,  Trosoban stan
Trosoban stan - BW Libera,"Beograd na vodi, Beograd, Srbija",400 000 €,73 m²,  Trosoban stan
"LUX stan kod Djeram Pijace, Vojvode Savatija","Đeram pijaca, Beograd, Srbija",204 000 €,70 m²,  Trosoban stan
"BW Aurora, nov, luksuzan 4.0, opremljen ID#9882","Beograd na vodi, Beograd, Srbija",485 000 €,118 m²,  Četvorosoban stan
"Palilulska pijaca, Majora Ilića, 0.5, renovirana ID#9861","Centar (uži), Beograd, Srbija",108 000 €,27 m²,  Garsonjera
"Lekino brdo, Lazara Tasića, nov, lux, 4.0 ID#9752","Lekino brdo, Beograd, Srbija",390 000 €,163 m²,  Četvorosoban stan
"Wellport, nov, luksuzan 4.0 sa baštom ID#9558","Novi Beograd Blok 65, Beograd, Srbija",450 000 €,136 m²,  Četvorosoban stan
"West 65, nov, lux, jedinstven 4.0 stan ID#9673","Novi Beograd Blok 65, Beograd, Srbija",699 900 €,131 m²,  Četvorosoban stan
"Vuk, BKA, 4.0, renoviran, dvostran, garaža ID#9850","Tašmajdan, Beograd, Srbija",390 000 €,110 m²,  Četvorosoban stan
"Skojevsko naselje, komforan četvorosoban stan ID#7903","Skojevsko naselje, Beograd, Srbija",197 900 €,102 m²,  Četvorosoban stan
"A blok, IV faza, nov, lux 4.0, funkcionalan ID#9866","Novi Beograd Blok 67a, Beograd, Srbija",529 900 €,100 m²,  Četvorosoban stan
"Karaburma, Dunavske terase, nov, 4.0, luks ID#9706","Karaburma, Beograd, Srbija",249 900 €,84 m²,  Četvorosoban stan
"Kaluđerica, Ratka Pavlovića Ćićka, garsonjera 26m2, garaža ID#9760","Kaluđerica, Beograd, Srbija",47 000 €,26 m²,  Garsonjera
"Fontana, Otona Župančiča, 0.5, renovirana, nameštena ID#9859","Novi Beograd Blok 1 (Fontana), Beograd, Srbija",100 000 €,25 m²,  Garsonjera
"TC Stadion, garsonjera, fasadna cigla ID#9781","Braće Jerković, Beograd, Srbija",82 000 €,20 m²,  Garsonjera
"Kalenić, Hadži Ruvimova, 22m2 ID#10188","Kalenić pijaca, Beograd, Srbija",109 500 €,22 m²,  Garsonjera
"Panoramski pogled, mereno 136m2 ID#10193","Terazije ( centar ), Beograd, Srbija",450 000 €,125 m²,  Petosoban+ stan
"Blok 65 ,Savada , lux 2.0 stan ID#10195","Novi Beograd Blok 65, Beograd, Srbija",410 000 €,91 m²,  Dvosoban stan
"Kompletno renoviran stan, mereno 72m2 ID#10164","Zemun (Centar), Beograd, Srbija",180 000 €,62 m²,  Dvosoban stan
Odličan stan u bloku 19a ID#10125,"Novi Beograd Blok 19 (Sava Centar), Beograd, Srbija",215 000 €,64 m²,  Dvosoban stan
"Voždovac, blizina Vojvode Stepe ID#10002","Voždovac, Beograd, Srbija",160 000 €,38 m²,  Dvosoban stan
"Institut za majku i dete, 58m2 ID#10004","Institut za majku i dete, Beograd, Srbija",158 000 €,58 m²,  Dvosoban stan
"Naselje Sakura Park, lux stan ID#9961","Novi Beograd Blok 58, Beograd, Srbija",296 000 €,70 m²,  Dvosoban stan
Konjarnik 62m2 ID#9952,"Konjarnik, Beograd, Srbija",165 500 €,62 m²,  Dvosoban stan
Odlična novogradnja ID#9943,"Dušanovac, Beograd, Srbija",168 828 €,51.16 m²,  Dvosoban stan
"TC Stadion, povrat PDVa ID#9942","Dušanovac, Beograd, Srbija",161 832 €,49.04 m²,  Dvosoban stan
"Braće Jerković, 60m2, lako adaptibilan ID#9876","Braće Jerković, Beograd, Srbija",150 000 €,60 m²,  Dvosoban stan
"Učiteljsko naselje, 56m2 ID#9857","Učiteljsko naselje, Beograd, Srbija",149 000 €,56 m²,  Dvosoban stan
"Cvetni trg, Svetozara Markovića ID#9837","Cvetni trg, Beograd, Srbija",235 000 €,56 m²,  Dvosoban stan
"Voždovac , odličan 2.0 stan ID#9794","Braće Jerković, Beograd, Srbija",118 000 €,44 m²,  Dvosoban stan
"Dalmatinska, 44m2 ID#9759","Tašmajdan, Beograd, Srbija",130 000 €,44 m²,  Dvosoban stan
"Blok 71 , odličan 2.0 stan ID#9738","Novi Beograd Blok 71, Beograd, Srbija",174 900 €,60 m²,  Dvosoban stan
"Blok A, lux stan 62m2 ID#9733","Novi Beograd Blok 67a, Beograd, Srbija",250 000 €,62 m²,  Dvosoban stan
"Vračar, Metohijska, novogradnja ID#9686","Kalenić pijaca, Beograd, Srbija",221 132 €,59.82 m²,  Dvosoban stan
Vojvode Vlahovića 45m2 ID#9647,"Voždovac, Beograd, Srbija",103 000 €,45 m²,  Dvosoban stan
"Altina, uknjižen,parking, 50m2 ID#9609","Altina, Beograd, Srbija",125 000 €,50 m²,  Dvosoban stan
"Voždovac, 2.0 stan, 58m2 ID#9504","Autokomanda, Beograd, Srbija",185 000 €,58 m²,  Dvosoban stan
"Metropol, Prote Mateje, mereno 70m2 ID#9505","Tašmajdan, Beograd, Srbija",297 000 €,66 m²,  Dvosoban stan
"Hram Svetog Save, Katanićeva, mereno 58m2 ID#9440","Vračar (Hram), Beograd, Srbija",220 000 €,48 m²,  Dvosoban stan
Zvezdara Woodstar Residense lux ID#9439,"Severni bulevar, Beograd, Srbija",175 950 €,51 m²,  Dvosoban stan
Stan na Vračaru u mirnoj ulici ID#9344,"Crveni krst, Beograd, Srbija",160 000 €,51 m²,  Dvosoban stan
"Hram Svetog Save, Nebojšina, 57m2 ID#9348","Vračar (Hram), Beograd, Srbija",249 000 €,57 m²,  Dvosoban stan
"Mirijevo, 16. oktobra, 60m2 ID#8889","Mirijevo I, Beograd, Srbija",125 000 €,60 m²,  Dvosoban stan
"Karaburma, 36+6m2 ID#8684","Karaburma, Beograd, Srbija",123 000 €,36 m²,  Dvosoban stan
Miran i porodičan deo grada ID#8738,"Braće Jerković, Beograd, Srbija",136 800 €,57 m²,  Dvosoban stan
"Novogradnja, nov stan, prazan ID#8666","Višnjička banja, Beograd, Srbija",107 000 €,55 m²,  Dvosoban stan
Odličan dvosoban stan ID#8277,"Labudovo brdo, Beograd, Srbija",139 000 €,60 m²,  Dvosoban stan
"Dorćol, odlična investicija 55m2+20m2 ID#8248","Donji Dorćol, Beograd, Srbija",200 000 €,55 m²,  Dvosoban stan
"BW Kings park residences, pogled na reku, 54m2 ID#8131","Beograd na vodi, Beograd, Srbija",270 000 €,54 m²,  Dvosoban stan
"Mirijevo, Raše Plaovića, 58m2 ID#8133","Mirijevo I, Beograd, Srbija",135 000 €,58 m²,  Dvosoban stan
"Blok 45, Jurija Gagarina, 61m2 ID#8055","Novi Beograd Blok 45 (TC Enjub), Beograd, Srbija",140 000 €,61 m²,  Dvosoban stan
"Karaburma, 61m2, sa parkingom ID#7880","Karaburma, Beograd, Srbija",139 000 €,61 m²,  Dvosoban stan
"Blok 70, Gandijeva, 73m2+20m2 bašta ID#7796","Novi Beograd Blok 70 (Kineski TC), Beograd, Srbija",206 000 €,73 m²,  Dvosoban stan
Stan u mirnom delu Kumodraža 42m2 ID#7565,"Kumodraž I, Beograd, Srbija",79 500 €,27 m²,  Dvosoban stan
"Rada Neimara, odličan 2s, mereno 50m2 ID#7561","Lekino brdo, Beograd, Srbija",130 000 €,36 m²,  Dvosoban stan
"Dr Ivana Ribara, okružen zelenilom, mereno 58m2 ID#7521","Novi Beograd Blok 72, Beograd, Srbija",149 000 €,56 m²,  Dvosoban stan
Odlican trosoban stan u Karnegijevoj-bez provizije,"Tašmajdan, Beograd, Srbija",260 000 €,70 m²,  Trosoban stan
"Zemun, Crnogorska, nov, 2.5, parking, useljiv ID#9892","Zemun (Save Kovačevića), Beograd, Srbija",169 000 €,52 m²,  Trosoban stan
"Savski venac, Beograd na vodi, 4.0 stan, 115m2, 450900 EUR, ID 51014","Beograd na vodi, Beograd, Srbija",450 900 €,115 m²,  Četvorosoban stan
"Učiteljsko naselje, 59.85m2, Ruđera Boškovića","Učiteljsko naselje, Beograd, Srbija",156 000 €,59.85 m²,  Trosoban stan
"Lekino brdo, 43.03m2, novo, lux","Lekino brdo, Beograd, Srbija",159 211 €,43.03 m²,  Jednosoban stan
"Lekino brdo, 71.77m2, novo, lux","Lekino brdo, Beograd, Srbija",251 195 €,71.77 m²,  Trosoban stan
"Retko u ponudi, Vračar, namešten","Neimar, Beograd, Srbija",231 000 €,66 m²,  Trosoban stan
"Zemun Polje, 2.0, renoviran, novo u ponudi ID#9891","Zemun Polje, Beograd, Srbija",87 500 €,51 m²,  Dvosoban stan
"Kalemegdan, 5.0, lux, fantastičan pogled ID#9830","Kalemegdan, Beograd, Srbija",999 000 €,200 m²,  Petosoban+ stan
"West Tower, nov, lux petosoban stan ID#8336","Novi Beograd Blok 65, Beograd, Srbija",990 000 €,161 m²,  Petosoban+ stan
"Cerak vinogradi, 5.5, bela fasadna cigla, parking ID#9414","Cerak vinogradi, Beograd, Srbija",195 000 €,122 m²,  Petosoban+ stan
Odličan stan u centru grada,"Centar (uži), Beograd, Srbija",139 500 €,35 m²,  Jednosoban stan
Garsonjera na Banjici ID#10178,"Banjica, Beograd, Srbija",75 000 €,28 m²,  Garsonjera
"Mirijevo, Vojina Đurašinovića, 35m2 ID#10181","Mirijevo I, Beograd, Srbija",85 000 €,35 m²,  Dvosoban stan
"Naselje Stepa Stepanović, 41m2 ID#10187","Voždovac, Beograd, Srbija",126 000 €,41 m²,  Dvosoban stan
"TC Stadion ,odličan 1.0 stan ID#10146","Braće Jerković, Beograd, Srbija",99 000 €,30 m²,  Dvosoban stan
Sjajan stan u Zemunu ID#10133,"Zemun (Gornji grad), Beograd, Srbija",130 000 €,45 m²,  Dvosoban stan
Stan sa parking mestom ID#10011,"Zemun (Save Kovačevića), Beograd, Srbija",120 000 €,35 m²,  Dvosoban stan
"Lekino brdo , lux nekretnina, gar.mesto ID#9975","Lekino brdo, Beograd, Srbija",123 000 €,30 m²,  Dvosoban stan
"Dušanovac, povrat PDVa ID#9941","Dušanovac, Beograd, Srbija",156 090 €,47.3 m²,  Dvosoban stan
"TC Stadion, novogradnja ID#9940","Dušanovac, Beograd, Srbija",146 850 €,44.5 m²,  Dvosoban stan
"Gradska bolnica, odličan stan ID#9884","Gradska bolnica, Beograd, Srbija",139 000 €,40 m²,  Dvosoban stan
"Zeleni venac, Brankova, kompletno namešten ID#9808","Zeleni venac, Beograd, Srbija",125 000 €,39 m²,  Dvosoban stan
"Voždovac, Kraljevačka, 36m2 ID#9658","Voždovac, Beograd, Srbija",110 000 €,36 m²,  Dvosoban stan
"Braće Jerković, Piva karamatijevića, 40m2 ID#9518","Braće Jerković, Beograd, Srbija",108 000 €,40 m²,  Dvosoban stan
"Denkova bašta , kompletno namešten, mereno 30m2 ID#9343","Denkova bašta, Beograd, Srbija",115 000 €,26 m²,  Jednosoban stan
"Naselje Save Kovačević, 43m2 ID#9309","Zemun (Save Kovačevića), Beograd, Srbija",99 000 €,42.96 m²,  Dvosoban stan
"Dorćol, 1.5 stan,mereno 50m2 ID#9263","Gornji Dorćol, Beograd, Srbija",248 000 €,42 m²,  Dvosoban stan
"Zemun, salonac ID#7942","Zemun (Centar), Beograd, Srbija",385 000 €,263 m²,  Petosoban+ stan
"Stari grad, Atelje 212, 1.5 stan, 40m2, 149000 EUR","Politika ( centar ), Beograd, Srbija",149 000 €,40 m²,  Dvosoban stan
"Beograd na vodi, BW King's Park Residence, LUX, 3.0, USELJIV","Beograd na vodi, Beograd, Srbija",368 100 €,73.62 m²,  Trosoban stan
"Beograd na vodi, BW Scala, 2.0, LUX, USELJIV","Beograd na vodi, Beograd, Srbija",345 000 €,52.58 m²,  Dvosoban stan
"Woodstar Residence,Novogradnja,51 m2, Bez buke,Otvoren  Pogled","Novo groblje, Beograd, Srbija",175 950 €,51 m²,  Dvosoban stan
"Saobraćajni fakul. 80m2,Novija zgrada+Dvorište","Voždovac, Beograd, Srbija",155 000 €,80 m²,  Dvosoban stan
"61 Blok, 2.5,78 m2,Kompltno renoviran i namešten","Novi Beograd Blok 61, Beograd, Srbija",230 000 €,78 m²,  Trosoban stan
"Zemun, Zemun polje, Šandora Majora, 2.5, 52m2, 115000EUR","Zemun Polje, Beograd, Srbija",115 000 €,52 m²,  Trosoban stan
"Čukarica, Filmski grad, Slavonskih brigada, 4.0, 119m2, 405000 EUR","Filmski grad, Beograd, Srbija",405 000 €,119 m²,  Četvorosoban stan
"Stan br.15, trosoban –objekt u izgradnji Dobanovačka 57-59, Zemun","Zemun (Gornji grad), Beograd, Srbija",198 268 €,70.81 m²,  Trosoban stan
"Trosoban stan u Kapijama Vračara, 79m2","Vračar (Hram), Beograd, Srbija",310 000 €,79 m²,  Trosoban stan
"Prodajemo Central garden, 37m2, ostava, namešten, garaža","Tašmajdan, Beograd, Srbija",198 000 €,37 m²,  Jednosoban stan
"Lion, R.Domanovića, renoviran 3.0, parking ID#9884","Lion, Beograd, Srbija",250 000 €,64 m²,  Trosoban stan
"Terazije, Čumićeva, tri luksuzna apartmana ID#8487","Terazije ( centar ), Beograd, Srbija",389 900 €,90 m²,  Trosoban stan
"Vuk, nov, 3.0, komforan, luksuzan, garaža ID#9682","Kalenić pijaca, Beograd, Srbija",747 400 €,140 m²,  Trosoban stan
"West Tower, nov, 3.0, luksuzan, garaža ID#9722","Novi Beograd Blok 65, Beograd, Srbija",530 000 €,96 m²,  Trosoban stan
"West 65, nov, lux, moderno dizajniran 3.0 stan ID#9786","Novi Beograd Blok 65, Beograd, Srbija",679 900 €,95 m²,  Trosoban stan
"Blok 65, Zep Terra, 3.0, nov, lux, garažno mesto ID#9299","Novi Beograd Blok 65, Beograd, Srbija",399 000 €,93 m²,  Trosoban stan
"Mirijevo IV, noviji, 3.0, parking mesto ID#9849","Mirijevo IV, Beograd, Srbija",99 900 €,90 m²,  Trosoban stan
"BW Quartet III, nov, lux, 3.0, u izgradnji ID#9765","Beograd na vodi, Beograd, Srbija",350 000 €,85 m²,  Trosoban stan
"Mirijevo, VKZ, 3.0, svetao, sa pogledom ID#9551","Mirijevo I, Beograd, Srbija",145 000 €,82 m²,  Trosoban stan
"Cvijićeva, Lidl, trosoban, dvostran ID#9755","Cvijićeva, Beograd, Srbija",160 000 €,80 m²,  Trosoban stan
"Zemun, Prvomajska, Crvenkapa, 3.0, fasadna cigla ID#9809","Zemun (Save Kovačevića), Beograd, Srbija",189 900 €,78 m²,  Trosoban stan
"Cvetkova pijaca, 3.0, noviji, funkcionalan ID#9546","Cvetkova pijaca, Beograd, Srbija",178 000 €,78 m²,  Trosoban stan
"Mirijevo, Mirijevski venac, 3.0, izuzetno svetao ID#9862","Mirijevo I, Beograd, Srbija",195 000 €,78 m²,  Trosoban stan
"BW Libera, nov, 3.0, osunčan, opremljen ID#9877","Beograd na vodi, Beograd, Srbija",395 000 €,76 m²,  Trosoban stan
"Gradska bolnica, noviji, 3.0, opremljen ID#9714","Gradska bolnica, Beograd, Srbija",150 000 €,70 m²,  Trosoban stan
"Braće Jerković, funkcionalan trosoban stan ID#9806","Braće Jerković, Beograd, Srbija",142 000 €,67 m²,  Trosoban stan
"Lastavice, nov, 3.0, lux, prelep pogled ID#9720","Novi Beograd Blok 67a, Beograd, Srbija",279 900 €,65 m²,  Trosoban stan
